cohort,outcome,percentile_threshold,group_kind,group_value,status,reason,n_outcome_valid,n_in_top,n_group_total,pct_of_top,pct_of_sample,representation_ratio,threshold_value,source_data
nlsy79,education_years,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,9258,45,2797,0.244565,0.302117,0.8095,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy97,g_proxy,90,race,BLACK,computed,,6992,31,1784,0.044286,0.255149,0.1736,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race,HISPANIC,computed,,6992,41,1346,0.058571,0.192506,0.3043,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race,"NON-BLACK, NON-HISPANIC",computed,,6992,628,3862,0.897143,0.552346,1.6242,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,sex,male,computed,,6992,454,3533,0.648571,0.505292,1.2836,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,sex,female,computed,,6992,246,3459,0.351429,0.494708,0.7104,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race_sex,BLACK|male,computed,,6992,18,864,0.025714,0.12357,0.2081,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race_sex,BLACK|female,computed,,6992,13,920,0.018571,0.131579,0.1411,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race_sex,HISPANIC|male,computed,,6992,26,682,0.037143,0.09754,0.3808,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race_sex,HISPANIC|female,computed,,6992,15,664,0.021429,0.094966,0.2256,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,6992,410,1987,0.585714,0.284182,2.0611,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,6992,218,1875,0.311429,0.268164,1.1613,0.9998663850460427,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race,BLACK,computed,,6992,0,1784,0.0,0.255149,0.0,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race,HISPANIC,computed,,6992,1,1346,0.014286,0.192506,0.0742,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race,"NON-BLACK, NON-HISPANIC",computed,,6992,69,3862,0.985714,0.552346,1.7846,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,sex,male,computed,,6992,55,3533,0.785714,0.505292,1.555,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,sex,female,computed,,6992,15,3459,0.214286,0.494708,0.4332,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race_sex,BLACK|male,computed,,6992,0,864,0.0,0.12357,0.0,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race_sex,BLACK|female,computed,,6992,0,920,0.0,0.131579,0.0,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race_sex,HISPANIC|male,computed,,6992,0,682,0.0,0.09754,0.0,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race_sex,HISPANIC|female,computed,,6992,1,664,0.014286,0.094966,0.1504,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,6992,55,1987,0.785714,0.284182,2.7648,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,g_proxy,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,6992,14,1875,0.2,0.268164,0.7458,1.6262268778999829,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race,BLACK,computed,,4844,66,1277,0.134694,0.263625,0.5109,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race,HISPANIC,computed,,4844,66,930,0.134694,0.19199,0.7016,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race,"NON-BLACK, NON-HISPANIC",computed,,4844,358,2637,0.730612,0.544385,1.3421,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,sex,male,computed,,4844,260,2343,0.530612,0.483691,1.097,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,sex,female,computed,,4844,230,2501,0.469388,0.516309,0.9091,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race_sex,BLACK|male,computed,,4844,33,570,0.067347,0.117671,0.5723,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race_sex,BLACK|female,computed,,4844,33,707,0.067347,0.145954,0.4614,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race_sex,HISPANIC|male,computed,,4844,39,447,0.079592,0.092279,0.8625,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race_sex,HISPANIC|female,computed,,4844,27,483,0.055102,0.099711,0.5526,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4844,188,1326,0.383673,0.273741,1.4016,210000.0,data/processed/nlsy97_cfa_resid.csv
nlsy97,household_income,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4844,170,1311,0.346939,0.270644,1.2819,210000.0,data/processed/nlsy97_cfa_resid.csv
