cohort,outcome,predictor_type,predictor,status,reason,outcome_col,n_total,n_used,pearson,spearman,beta_predictor,SE_beta_predictor,p_value_beta_predictor,r2,source_data
nlsy97,sat_verbal_2007,subtest,PC,computed,,sat_verbal_2007_bin,6992,1979,0.4995136609732807,0.5257090374965383,0.6267593011982471,0.02444676569632834,2.1423514849474758e-125,0.24951389749892983,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,GS,computed,,sat_verbal_2007_bin,6992,1979,0.5128729975332711,0.520328377418688,0.6135326393437606,0.023096535515459458,3.2532771818581308e-133,0.2630387115987629,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,AS,computed,,sat_verbal_2007_bin,6992,1979,0.3428488183797258,0.3605570596962853,0.43098638004676804,0.02655851336939955,1.0816797378642135e-55,0.11754531226437448,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,MC,computed,,sat_verbal_2007_bin,6992,1979,0.39285527843904994,0.4190348581340541,0.4937382557812683,0.02599321267049904,4.941894530123169e-74,0.15433526979742362,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,subtest,EI,computed,,sat_verbal_2007_bin,6992,1979,0.4283747705431084,0.44893623429881857,0.5179117877386884,0.024570011283929695,3.865274292926286e-89,0.18350494403786088,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,factor,speed,computed,,sat_verbal_2007_bin,6992,1979,0.29920025988916493,0.28956235470119934,0.4020323887417129,0.02883571713903166,3.266941475521861e-42,0.08952079551774417,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,factor,math,computed,,sat_verbal_2007_bin,6992,1979,0.4384668884092935,0.45384248201245286,0.5846626453462628,0.02695273429339417,8.966070883023484e-94,0.19225321223132807,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,factor,verbal,computed,,sat_verbal_2007_bin,6992,1979,0.5861306760252512,0.6103949092768052,0.7738269430045986,0.024057315393148142,6.163762526412484e-183,0.3435491693778181,data/processed/nlsy97_cfa_resid.csv
nlsy97,sat_verbal_2007,factor,technical,computed,,sat_verbal_2007_bin,6992,1979,0.48359446489888513,0.5080240776087857,0.6836288682511356,0.027828435053440546,1.604195957015157e-116,0.23386360648083904,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,NO,computed,,act_2007_bin,6992,1701,0.3467570898052416,0.3389312900665081,0.32676580228735375,0.021443543240901503,3.0346095374442414e-49,0.12024047933020032,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,CS,computed,,act_2007_bin,6992,1701,0.33735510076931174,0.3297854885065427,0.3000277304344268,0.02031146389731533,1.5185204305729917e-46,0.1138084640150725,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,AR,computed,,act_2007_bin,6992,1701,0.5589586091412827,0.5861723169712993,0.5469440411834349,0.019684460799375126,2.1728335708778508e-140,0.312434726733157,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,MK,computed,,act_2007_bin,6992,1701,0.5418766984126678,0.5637699031600406,0.54377841520046,0.020461657587531674,2.0182455127805465e-130,0.29363035628261314,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,WK,computed,,act_2007_bin,6992,1701,0.6026321200843252,0.6182437909893927,0.5910523686405975,0.018988484216404148,1.0638464440046646e-168,0.3631654721573282,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,PC,computed,,act_2007_bin,6992,1701,0.5589584960697527,0.5899996818924718,0.5466149169950346,0.01967262144098829,2.173173378227824e-140,0.3124346003285595,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,GS,computed,,act_2007_bin,6992,1701,0.5867556450159155,0.5997830069974324,0.5461311043674795,0.018285272504034132,6.590422551064707e-158,0.3442821869580426,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,AS,computed,,act_2007_bin,6992,1701,0.37873415551132195,0.3940121740492454,0.3527813733849825,0.02091478913815805,3.844723260093756e-59,0.14343956055087426,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,MC,computed,,act_2007_bin,6992,1701,0.47874051575182175,0.5056771713291064,0.450719247417259,0.020053131549440297,3.6847047642938417e-98,0.2291924814223203,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,subtest,EI,computed,,act_2007_bin,6992,1701,0.4439936617834462,0.4484525166254694,0.4130283347305616,0.020222223274489203,4.3084534312513616e-83,0.19713037170387326,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,factor,speed,computed,,act_2007_bin,6992,1701,0.39356890668684164,0.38572838168038903,0.4145508279741592,0.023491744639462,3.984225106331525e-64,0.15489648431067593,data/processed/nlsy97_cfa_resid.csv
nlsy97,act_2007,factor,math,computed,,act_2007_bin,6992,1701,0.5854402696661665,0.6100861732203422,0.6168728082969039,0.020724537358542766,4.857228092794519e-157,0.34274030934679356,data/processed/nlsy97_cfa_resid.csv
